sentence1	sentence2	label
Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric.	A good number of nation officials in Chicago are Jewish.	1
A stable funding level not only supports GAO's strong return on investment of $57 for every $1 spent, it creates the environment necessary to recruit, retain, compensate, train and motivate a strong and capable workforce.	This is one of the highest returns on investment out of all the government agencies.	1
The two programs are currently housed in buildings about a block apart.	The buildings for the two programs are approximately one block apart.	0
However, some participants cautioned that principle-based standards should not be viewed as a panacea to solve the problems with financial reporting and could lead to an undesirable situation where you would not have comparability or agreement as to the treatment of similar transactions.	 some participants cautioned that principle-based standards should not be viewed as a panacea to solve the problems 	0
But is the Internet so miraculous an advertising vehicle that Gross will be able to siphon off $400 per person from total ad spending of $1,000 per family--or persuade advertisers to spend an additional $400 to reach each of his customers?	Was the internet so great at advertising that Gross would pay $400 per person per ad, totalling spending $1000 per family or persuade adversisers to shell out an extra $400 to reach each customer?	0
Mallorca prospered.	Mallorca was one of the wealthiest countries in the region.	1
There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude.	The rollercoaster is too slow for most people. 	1
"But there's John ”and Miss Howard, surely they were speaking the truth?"""	I would trust them with my life.	1
In an atmosphere of economic crisis stagnant productivity, bank closures, and rising unemployment conservatives wanted somebody tougher, more dynamic than eternally compromising old-style politicians.	Banks were able to stay afloat in some cases.	1
The rain had stopped, but the green glow painted everything around them.	The green glow painted everything around them after the rain had stopped.	0
More detailed implementation plans also will be necessary to address business system, processes, and resource issues.	Detailed implementation plans are necessary to address business system, processes and resources 	0
"17 ""Surely you are not thinking of refusing? "	Its an opportunity of a lifetime you can't be thinking of turning it down?	1
"There's one thing, he thought to himself, ""they can't go on shooting."	He thought to himself that they can continue shooting.	2
" ""You're not going to marry him, do you hear?"" he said dictatorially."	You will not take him as your husband and run away.	1
(Imagine the difference between smoking a cigarette and injecting pure nicotine directly into a vein.)	Picture injecting nicotine into a vein compared to smoking a cigarette.	0
Sales of goods and services in undercover operations.	Goods and Services are sold by undercover agents..	0
Enter the realm of shopping malls, where everything you're looking for is available without moving your car.	A shopping mall is a sparse network of stores, that requires a significant amount of travel to go from one store to another.	2
oh really yeah i've i've never seen either one of them	I've seen them both many times.	2
Since the system would automatically verify all receipts and acceptances prior to invoice payment authorization, there would be no need to authorize payment prior to verification of receipt.	The new system has nothing to do with invoice payments.	2
so we're expecting our local economy to	What we expect of our local economy is	0
Under Deng Xiaoping, Beijing actively sought to cultivate a good bilateral relationship.	Beijing sought to create a good relationship with Hong Kong.	1
They are the four sentences you always insert in plagiarized papers to throw the professor off track.	Professors can be thrown off track by four particular sentences in an otherwise plagiarized paper.	0
oh, just about nothing.	Yes, there is a ton.	2
These aliens may seek legal assistance at any time during the year, although limited English ability and lack of knowledge of rights and procedures may provide obstacles to seeking and obtaining representation.	These immigrants often need legal assistance for the workplace.	1
um-hum they have socialized socialized health care	They have socialized health care since 1957	1
FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.	The FDA found an association between the ESB to the EST.	2
it was really a nice compromise especially because she felt like she was still living in her own house and she still had her own couch and her own bed and it it really helped a lot and she was a lot more comfortable and she didn't	It really works out well, she had all her own furniture and stuff, so she felt like it was her own home. This made her much more comfortable with the situation.	0
'Don't worry,' he whispered.	He said not to worry.	0
Near Jerusalem	It is very far from Jerusalem.	2
In the small marina you can eat while surrounded by expensive boats.	There are no boats in the small marina.	2
but it but again it depends on what job you're in the men that are out there fixing power lines are tested a lot	The men who fix the power lines are never tested.	2
The tabs are getting fed up with women who have become rich and famous by telling everyone else how to be better.	Women who have become rich and famous by telling everyone else how to be better are making people fed up.	0
trying to keep grass alive during a summer on a piece of ground that big was expensive	It cost a lot to keep a large area of grass alive during the summer.	0
Welts grew on each of the man's cheeks.	The welt the man got from battle were growing.	1
to uh working a steady eight hour job as it were i had been working for a camp and had relatively real long hours sixteen years old and could handle getting up at five and not getting to bed until ten or eleven and	I could get along with having six hours of sleep every night.	1
Treat yourself and bill it to Si.	Don't treat yourself, Si has to pay for that. 	2
This marvelous Victorian-Gothic building is famous for the fanciful stone carvings around the base of its pillars (one pillar, reputedly depicting the club members, shows monkeys playing billiards).	The fanciful stone carvings on the pillars' base are what made the Victorian-Gothic building famous.	0
did you see it	There is nothing there.	2
right and that was back in nineteen fifty nine	It was over fifty years ago.	0
New York Times Book Review Editor Charles McGrath, a former deputy to William Shawn at the New Yorker , calls Lillian Ross' memoir about her affair with Shawn on occasion factually inaccurate or misleading and a betrayal of Shawn's high editorial principles.	McGrath says that Lillian Ross' affair was not portrayed correctly. 	0
actually i listened to one time i remember it's this is back when rap even uh i would say about ten or fifteen years ago i	I listened to rap one time about 15 years ago.	0
He took the wicked blade as well.	The men took all the sword's, a dozen at least.	1
apparently apparently the appraisers likes it because our taxes sure is high  isn't it it really is	The appraiser did not like it one bit.	2
and uh my daughter gets irate when i when i do that because you know she's a teenager	My daughter never gets mad when I do that.	2
uh-huh uh-huh uh-huh yeah well that's really neat	That's amazing, I've never seen anything like it.	1
although the uh it's uh it we almost one day we painted the house to uh we painted we painted the whole inside and it had all this dark trim we thought uh you know we did the one wall but the other trim i'm trying to think i think i think we left most of it because it gets to be uh they don't do that in the newer houses now we don't the uh mold everything is white in a new house everything is white	We painted the house over the duration of one day.	0
For this report, we provide an overview of the major theories about why people save and describe various factors associated with the decline in personal saving.	Nobody has any codified ideas as to why people might save.	2
i tell you what i would not i would not buy a car that had the seat belt where it was hooked under the door	I don't want a car with the seat belt under the door.	0
The notable thing for me about the Left Behind series--beside the fact that few in the secular media have noticed that millions of Americans are busy reading books warning about the imminence of one-world government, mass death, and the return of the Messiah, is that all the Jewish characters are Christian.	There is no reference to religion in the Left Behind series.	2
For the upcoming world championships in microhockey, a super-vaccine was to be developed, which would be administered to all participants and audience members.	A super-vaccine was being developed to be given to everyone in attendance at the world championships.	0
"I leap!"" And, in very truth, run and leap he did, gambolling wildly down the stretch of lawn outside the long window. "	The man exclaimed that he would leap, and he did just that.	0
'Upload him into his body? What body?'	What body does he have?	0
More detailed implementation plans also will be necessary to address business system, processes, and resource issues.	Less detailed plans will be necessary to address business systems 	2
Pat Buchanan followed immediately behind, handing out smallpox-infected blankets and bottles of whiskey.	Pat Buchanan was walking with whiskey in his hand.	0
4 million homes watch the evening news on CBS, ABC, and NBC.	4 million homes watch CBS, ABC and NBC. 	0
well wonderful that'll be a musician	That will be a person who plays music. 	0
Emissions will be cut from current emissions of 48 tons to a cap of 26 tons in 2010, and	Emission caps are going to be cut substantially.	0
Be sure to look around and compare before buying.	Don't consider and compare before buying.	2
The agencies requesting guidance on internal controls when implementing fast pay have also designed procedures to verify receipt and acceptance of goods ordered on an afterthefact sampling basis rather than on the basis of a 100percent postpayment verification as is traditionally done.	The sampling basis method is more efficient and cost effective.	1
GAO secures all information obtained during the course of its work.	The information is secured.	0
'And I don't want to risk a fire fight with what appear to be horribly equal numbers.'	I don't want to fight when we both have 1000 people.	1
Oh, what a fool I feel! 	I am such a fool!	0
18 In 1989, rural carriers received an average of 34 cents per mile as a motor vehicle allowance.	The allowance in 1989 was 50 cents per mile.	2
Blair has just published a volume of speeches and articles titled New Britain : My	It took Blair two years to conduct the research for these speeches.	1
Perhaps tax reform doesn't appeal to the new spiritualized side of Bradley.	Bradley don't have spiritual beliefs.	2
uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him	I think he is good, but not the best.	1
It means that they gather and interpret their material fairly and argue about its interpretations rationally.	The material is gathered hastily and is argued about irrationally.	2
You will need-all of you will need-to be highly visible personally and professionally.	There is a need for everyone to be personally and professionally visible.	0
Scotland became little more than an English county.	Scotland was far greater than an English county.	2
An Indian traveler described the prosperous Bujang Valley settlement as  the seat of all felicities.  	A traveler said the settlement was prospering. 	0
New York Times columnist Bob Herbert asserts that managed care has bought Republican votes and that patients will die as a result.	Managed care had nothing to do with the Republican voting.	2
Earlier this week, the Pakistani paper Dawn ran an editorial about reports that Pakistani poppy growers are planning to recultivate opium on a bigger scale because they haven't received promised compensation for switching to other crops.	Pakistani poppy growers are going to grow more opium.	0
She was alone at last with the president!	At last, she has been alone with the president! I envy her.	1
Crosethe Rue de Rivoli to the Palais-Royal, built for Car?­di?­nal Richelieu as his Paris residence in 1639, and originally named Palais-Cardinal.	Cardinal Richelieu was a wealthy man who worked diligently for the Catholic church.	1
Also, stakeholders may not interpret principles consistently, and it is important for stakeholders to have the same conceptual framework as preparers when interpreting a principle.	stakeholders may not interpret how they want to invest their money	1
Visigoths sack Rome	Rome was invaded by the Visigoths.	0
you know it's easy to say well yeah let's let's put these old folks in a home but when i think i don't want to do that you know i don't want to be have my little home i always threaten my daughters i say well	They say to put them in homes for older folks home but I do not want to do that.	0
Intifada to the Present	From Intifada until now.	0
Dublin has international restaurants galore, and the New Irish Cuisine is built upon fresh products of Ireland's seas, rivers, and farms.	Fresh products of Irelands seas, rivers, and farms are what New Irish Cuisine is built upon.  	0
'I don't know what happened, exactly.' I said.	Something strange was going on.	1
He celebrated the fact by announcing that the capital would be moved from Calcutta to a whole new city to be built in Delhi.	The capital has never moved locations in its history. 	2
But if Clinton consents, censure and community service can proceed.	The censure and community service are very important.	1
One of them, darker skinned, had hair braided into two lines.	They braid their hair to keep it out of the way during combat.	1
"Her state is probably to be attributed to the mental shock consequent on recovering her memory."""	She is probably in shock now that she has her memory back.	0
"What are you going to do about it?"" Tuppence frowned severely."	Tuppence wanted to know what the plan was?	1
are you and since being Argentinean we also have a lot of pasta	We're Argentinean so we hate to eat any pasta or Italian food.	2
I hate pigeons.	Pigeons are cute and adorable.	2
At the far end of David Street, Temple Mount is one of the world's most sacred spots to three major religions.	Temple Mount is at the far end of Joseph Street.	2
H-2A aliens, as the only category of eligible aliens who reside in the United States temporarily, are particularly affected by the issue before the Commission because of their necessarily short periods of time in the United States.	H-2A aliens are authorized to stay in the United States permanently.  	2
He turned and saw Jon sleeping in his half-tent.	He saw Jon had been sleeping for hours.	1
Unrest and some political extremism have surfaced from time to time, but since aid from France is so vital, and French customs so ingrained, it seems almost inconceivable that the FWI will seek total independence as other Caribbean islands have done.	There is some political extremism.	0
Saint-Th??gonnec is an outstanding example, its triumphal arch setting the tone for the majestic calvary of 1610.	The hideous calvary makes Saint-Thégonnec a terrible example.	2
uh the one we thought would be the most timid uh turned out to be the one that stuck with it and was the first to learn	The one that was first to learn was the one we anticipated to be timid. 	0
so who so if you go out and you're talking like a ten or fifteen thousand dollar vehicle and you add that sales tax on that's a that's a big chunk of change you have to come up with	Adding sales tax to a ten thousand dollar vehicle is not significant.	2
Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.	Justice Kennedy doesn't think the Supreme Court Reporters from 1790 to 1998 are important.	0
i can believe i can believe that	I don't believe that for a second.	2
In few other modern cities are you likely to see such a variety of costumes.	This city has the largest variety of costumes .	1
Mr. Clinton rewards Mr. Knight for his fund raising, Mr. Gore lays the groundwork for his anticipated presidential bid four years from now, and the companies, by hiring Mr. Knight, get the administration's ear.	Mr. Clinton appreciated Mr. Knight for his fund raising.	0
yeah i know because uh all i know is that when i came here in eighty seven they still had uh it was the last year to to put all your punch cards in	When I first started in the eighties you had to use punch cards.	0
no no but you know i was just thinking of getting one those for the yard because they they are really nice and um up here we have uh we have quite a few mosquitoes at nighttime	I am not bothered by the mosquitoes. 	2
They have found a new object of their affection.	They love their new sports car.	1
Of the four main buildings, all of them whitewashed and decorated with bright painted sculptures, the first is where the worshippers bring offerings of flowers and fruit, the second is for sacred dances, and the third for viewing the divine effigies, which are enshrined in the sanctum of the fourth and tallest edifice.	There are six main buildings, all painted beige.	2
In reviewing this history, it's important to make some crucial distinctions.	Mistakes can be made when taking historical events out of context.	1
  There's nothing like the trendy resort clothing available here, styled on the island by the designers of the Ad-Lib group.	The Ad-Lib group designs the trendy resort clothing here.	0
8 million in relief in the form of emergency housing.	No money was spent on emergency housing relief.	2
In both Britain and America, the term covers nearly everybody.	In both Britain and America the term covers almost everyone.	0
"You did, didn't you?"""	Did you do it?	0
ENVIRONMENTAL PROTECTION AGENCY	Agency which is responsible for the destruction of the environment.	2
Vatican II gave rise to a less hierarchical and more outward-looking Catholicism and set the stage for once-unthinkable innovations like plainclothes nuns and the celebration of the Mass in English and other modern languages.	Vatican II led to a greater centralization of power within the Catholic church.	2
"She hates me."""	She does not like me. 	0
the the Iranian borders are still open uh from what i understand understand um	Iran let their borders open due to a crisis.	1
Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.	Papyrus can be bought in many shops in Egypt.	0
Candle grease? 	It was not candle grease.	2
In manual systems, attestations, verifications, and approvals are usually shown by a signature or initial of an individual on a hard copy document.	A signature in a manual system is meant to show disapproval.	2
He charged Jon, knife high.	He charged Jon with a bloody knife.	1
And in this city, where literature and theater have historically dominated the scene, visual arts are finally coming into their own with the new Museum of Modern Art and the many galleries that display the work of modern Irish artists.	As this city lacks a Museum of Modern Art, visual arts will never come into their own. 	2
i think yeah and it's a just a nice escape and you know it's something to laugh at and enjoy	I think it's an escape that can be enjoyed.	0
but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head	It's not worth doing if you have to question the person like that.	1
and they're more independent and there's things to do then it's good for them to go to different i mean it he goes to a a mother's day out program now once a week both of my kids do	Since they are independent, they have more things to do.	0
Penrith and Blencathra are also Celtic names, established during this early period of settlement.	Penrith and Blencathra are Celtic names which were established in this early period.	0
The Implementation of National and European Legislation Concerning Air Emissions from Large Combustion Plants in Germany	European legislation does not address German air emissions.	2
These adaptations are not uniformly valued.	Adaptions are always valued 	2
Clinton used a floor mop to clean up the dirt he had tracked onto the shiny floor of an elementary school.	Clinton cleaned up the floor of an elementary school with a floor mop.	0
That's it. The girl looked at him, then passed her hand across her forehead.	The girl turned away from him and kept her hands still.	2
It's come back? cried Julius excitedly.	They were excited to hear it will come back.	0
Indeed, the Democratic counteroffensive has already begun.	Somebody or some group has a beef with another one and considers defensive moves as being 'counteroffensive'	1
Very simply. 	Not complicatedly.	0
This confluence of a bad tax, a $1 billion reserve, a botched opposition campaign, and voters willing to call a bluff resulted in the I-695 victory.	Bad tax and a $1 billion reserve lead to the I-695 victory.	0
looking at that and you know and if it's if it's funny or if it keeps my interest if it's exciting i'll watch it if not i don't and times that i saw that or pieces of that it wasn't any it wasn't great Thirty Something i watched a few times because there was a few good episodes and then after that it it i just lost interest in it	I watched Thirty Something a few times because some of the episodes were good, and then after that I lost interest in it.	0
All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.	The islands were not allowed to join France.	2
McCalpinMaria Luisa Mercado Nancy H. Rogers Thomas F. Smegal, Jr.	Nancy Rogers is involved in the state's project.	1
"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking. "	The fact that Styles was at Bauerstein changes everything.	0
Others watched them with cold eyes and expressionless faces.	Some people who were not emotive were watching.	0
taken up by the oh okay oh so you know well that's i had wondered sometimes i knew that there was a lot of a lot of effort and a lot of work went into a lot of that and i just wondered if if it lasted and if it took you know like yeah	It was easy to do and did not take much effort.  	2
Most traditional reform options involve workers paying more for promised benefits or getting lower benefits.	Under many accepted options workers are left with increasing payments or receiving fewer benefits.	0
"They were so sure of themselves that they took it for granted he had made a mistake."""	They simply assumed that he'd made a mistake.	0
audits and other reviews, including those showing deficiencies and recommendations reported by auditors and others who evaluate agencies' operations, (2) determine proper actions in response to findings and recommendations from audits and reviews, and (3) complete, within established time frames, all actions that correct or otherwise resolve the matters brought to management's attention.	Deficiencies and recommendations reported by auditors are examples of other reviews.	0
You wonder whether he could win a general election coming out of the right lane of the Democratic Party.	He might run in a general election for governor while he is a conservative Democrat.	1
They have prominent red protuberances and may have been named after the British redcoats.	They were named after the redcoats because they are the same bright red color on their bodies.	1
Classic Castilian restaurant.	The restaurant also features international food.	1
"At the same moment I felt a terrific blow on the back of my head… ."" She shuddered."	I was hit on the back of my head.	0
He jumped up, planting one hand on the charging horse, and came at the brute with the axe.	He swung at the brute with his sword.	2
they don't call them immigrants anymore that was back during my granddaddy's day	Now they call them tourists.	1
Along with each step, certain practices proved especially important to the success of their efforts.	No practices were helpful 	2
did you well it's not just that are there enough jobs for people here now	it's not only that people can find jobs here more easily now	0
Introduction	The line considered is referencing the conclusion of a given work.	2
Just east of the Star Ferry terminal, you'll come to CityHall.	City Hall is extremely far west of the ferry terminal.	2
Apartment...twenty-one B, apparently.	Apartment 21B was very sought after.	1
right right they left a woman and a child or the cat the sheep yeah	They let a woman and child remain, or it might have been the cat or sheep.	0
According to the Natural Resources Conservation Service, this single, voluntary program will provide flexible technical, financial, and educational assistance to farmers and ranchers who face serious threats to soil, water, and related natural resources on agricultural and other lands, including grazing lands, wetlands, forest lands, and wildlife habitats.	This program aims to destroy all farms. 	2
Through the opt-out approach, Texas attorneys contributed $1 million this year, doubling 2001 contributions.	The opt-out approach has never increased how much Texas attorneys can contribute in the last twenty years.	2
How to Watch Washington Week in Review : Back to front.	Watch Washington Week in Review from the end to the start. That's the best way.	1
High Crimes is painfully shoddy, even for a book rushed to press.	High Crimes was carefully written and was not rushed. 	2
Of course I had a watch kept on Mr. Inglethorp, hoping that sooner or later he would lead me to the hiding-place. 	I thought he would show where he hid.	0
The movie doesn't come to much, though.	There was a lot to this movie.	2
She graduated in 1995 owing $58,000 in loans.	She owed nothing.	2
One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair.	The chair was tall and made of wood. 	1
But there is a cycle of confirmation; if prophecy indicates a thing will happen, it will happen--though not always as expected.	There's no order to it; prophecy tries to indicate a thing will happen, but it never does.	2
It's all right.	It is well and we will be on our way.	1
The day my deadline came, I got a business card.	The deadline to accept my promotion arrived and I got a business card with my new title. 	1
The relatively small crowds mean that fans sit close to the action.	Fans sit close to the action, because we can see relatively small crowds.	0
" ""The summons was only for Dave Hanson,"" Ser Perth said sternly as the three drew up to him."	The others went to protect Dave.	1
Princes Street is to Scots what Oxford Street is to the English the premier shopping street of the land.	Princess Street is the premier shopping street in England.	2
In the original, Reich is set up by his host and then ambushed by a hostile questioner named John, and when he tries to answer with an eloquent Mr. Smith speech (My fist is clenched.	John questions Reich in a hostile manner in the original.	0
In addition, we supported the creation of a 250-page Poverty Law Manual that introduces advocates to the fundamentals of poverty law.	The Poverty Law Manual was created to document poverty law opposition.	2
The last thing we want is any more attention or any more bounty hunters.	They thought than more attention would make it harder to hide. 	1
What a lot of bottles! I exclaimed, as my eye travelled round the small room. 	What a lot if bottles! I exclaim. 	0
For example, if Ovitz's five-year deal was worth, say, $100 million, and if the compensation committee had added to that a front-end grant of free Disney shares worth, say, $50 million, then--assuming that Ovitz finished his five-year contract period--the cost to Disney would be $150 million.	The cost to Disney would be $150 million	0
Beautiful examples of enamelware, ceramics, and pottery are produced in great abundance, often following a Celtic theme.	A large number of Celtic-themed items is produced.	0
Great mistake to say too much.	The best thing to do was to say everything they knew.	2
The islands' names refer to the different force winds hitting them, not their topography.	The islands are exposed to winter only during the winter.	1
At the least, he was hired in an attempt to influence administration China policy.	His attempts to influence the Chinese administration failed.	1
did you well it's not just that are there enough jobs for people here now	there still aren't enough jobs for everyone here	2
Because the paper did not say that.	The paper did not state as much.	0
course the head bangers i stay away from those entirely	I find the head bangers to be dangerous association and harmful to one's health.	1
Hold hard, said Tommy.	Tommy explained to hold hard, using only one arm.	1
"It was a splendid life ”I loved it."" There was a smile on her face, and her head was thrown back. "	There were many people listening to her.	1
For instance, mandatory account proposals are more likely to increase private saving because such a program would require households that do not currently save-such as many low-income individuals or families-to place some amount in an individual account.	Mandatory account proposals are likely to increase savings by forcing people to save.	0
It has long been influenced by their differing traits, and has assimilated their various customs and practices.	Their different traits have had no impact on any cultures.	2
It is nice to be reminded that people remember.	It made me feel good that people remembered.	0
For the next two centuries Aelia Capitolina enjoyed an innocuous history.	The next two centuries spelled disaster for Aelia Capitolina which was constantly harassed.	2
My article does not say or imply that real earnings growth only reflects retentions and that dividend growth must be zero or that all valuation techniques are out the window for firms that don't pay dividends.	My article doesn't say or imply that real earnings growth reflects only retentions and that dividend growth must be zero or that valuation techniques are unused for firms which don't pay dividends.	0
Auditors may use an engagement letter, if appropriate, to communicate the information.	Auditors may not use an engagement letter to communicate.	2
On the slopes of the hill you will find Edinburgh Zoo, located just behind Corstorphine Hospital.	Corstophine hospital is really far fromEdinburgh Zoo	2
If the difference between these two prices is large enough, the mailer could hire a trucking firm, as discussed above.	It is very easy for the mailer to hire a trucking firm.	1
Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiri under feet of ash and pumice but the whole Minoan civilization.	The Minoans did not see this coming.	1
get something from from the Guess Who or	Get something from someone or the Guess Who if you really want.	1
i think it's real good anyway it's it's been it was nice meeting you	It was nice meeting you	0
AT&amp;T and MCI have protested the tax and pledged to pass the cost on to  MCI charges 5 percent on all out of state long-distance calls, and AT&amp;T charges a flat rate.	AT&T's flat rate is usually cheaper than MCI's per call tax. 	1
4 million homes watch the evening news on CBS, ABC, and NBC.	No one watches nbc.	2
um i know that i had heard that uh McDonald's has gotten so much flack about sending their hot foods out in the Styrofoam that they are going to work on something	McDonald's was sending their hot foods out in the Styrofoam and they got a lot of flack about it, that they are going to work on something.	0
It's easy to overdose on the many temples, palaces, and museums in India.	You'll find a scarcity of palaces and temples across India.	2
Yes, sir.	No, Ma'am.	2
The experts point out that it is not age alone that determines a Chinese antique's value the dynasties of the past had their creative ups and downs.	The Qin Dynasty has the most expensive antiques for their unique style.	1
Executives do so by examining their internal environments and asking a series of questions about the problems that need fixing, how information technology and management can help, and how a CIO might best fit within their management structures to guide technology solutions.	More powerful computers are directly correlated to more effective information technology outcomes.	1
This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.	He claimed he was robbed on the way and has no money or a plane ticket	0
The state legislature provides significant bipartisan support for the legal services delivery system.	Legal delivery is wonderful in the state	1
For the upcoming world championships in microhockey, a super-vaccine was to be developed, which would be administered to all participants and audience members.	A super-vaccine was being developed to keep people attending the world championships from falling ill with the disease.	1
He needs to keep his finger on the pulse to succeed during the short tourist season.	He needs to match what his customer want because he only has three weeks to make it happen!	1
Initial demand for land in the New Town was not spectacular; in fact, incentives had to be offered to entice buyers.	Buyers were offered incentives to persuade them to buy land in New Town.	0
This includes all testing, information review, and interviews related to data reliability.	All testing will be made before 12pm on Mondays.	1
The riotous revelry roars right past Mardi Gras (Shrove Tuesday) when red-costumed children star as devils, to its peak on Ash Wednesday.	Mardi Gras is only the more common name because it is not specifically linked to religion.	1
and it's just like college too i think that if a kid goes to college and you can help them fine but i don't think you should pay the whole way	You should pay the whole way for the kid's college tuition.	2
 Ibiza's seven-bulwark defences are almost completely intact.	Ibiza's defensive walls are almost entirely intact.	0
3) The gap between the productivity of women and the productivity of men.	The numbers are very similar.	1
i ripped the ligaments in my right ankle	ever since i injured my right ankle, i can't put weight on it	1
Dan Burton, in an appearance on Good Morning, America , said he had sent a letter to Attorney General Janet Reno urging her to have the FBI seize the Kuhn paperback immediately so it can be examined by its own labs.	Dan Burton was the 500th guest on Good Morning, America.	1
 Ibiza's seven-bulwark defences are almost completely intact.	Ibiza was never attacked so the walls are in great condition.	1
See you Aug. 12, or soon thereafter, we hope.	The person was invited for August 12.	0
uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him	He is my favorite and I never want to see anyone beat him.	2
Arafat is also ailing and has no clear successor.	Arafat is in good health and has a clear line of succession in place. 	2
Its facilities include a swimming pool and a peaceful garden.	The indoor swimming pool is 25 meters long.	1
Our review indicates that the Food and Drug Administration complied with the applicable requirements.	The FDA has strict requirements for new drugs.	1
The Palace of Jahangir is built around a square court with arches.	There is a court with arches in the Palace of Jahangir.	0
He could make quite an issue out of the need to determine the characteristic impedance of their sky.	He could have made an issue about the need to determine the impedance of the sky.	0
an d now we got the governor she's going to do that	Now we have the governor and she is going to do that.	0
Carmel Man, a relation of the Neanderthal family, lived here 600,000 years ago.	Carmel Man is a camel representing a cigarette brand.	2
um-hum what is your worst then	What is your worst memory?	1
And, just incidentally, the Sons of the Egg who'd attacked him in the hospital had tried to reach the camp twice already, once by interpenetrating into a shipment of mandrakes, which indicated to what measures they would resort.	The Sons of Egg attacked him in the hospital and were trying to reach the camp.	0
And if they did come, as remote as that is, you and your men look strong enough to handle anything.	The men were warriors.	1
"It is really a matter of waiting."""	It is all about waiting.	0
It shows clearly enough that my poor old friend had just found out she'd been made a fool of!	I was sorry for my friend's predicament.	1
yeah yeah you know we're kind of that way too i try to i'm the same way you are i kind of try to judge from day to day i know you know where i am we work a lot with the customers and we have a lot of government folks come in all the time and	We tend to deal with several customers as well as government staff.	0
By contrast, their grandson, who assumed the throne in 1516, was born in Flanders in 1500, and Charles I could barely express himself in Spanish.	Charlies I was seen by his subjects as an outsider.	1
yeah and the music and uh well it had an excellent story line Everything about it was good	every aspect of it was amazing, the best i've ever seen	1
The castle itself comprises an early 17th-century tower house, restored with Irish oak from the park which is held together without a single nail.	Early 17th-century tower house is within the castle, restored with Irish oak from the park, which is held together without a single nail.	0
On 4 5 May a mass of mud and rocks was swept down by Pelee's White River (Riviyre Blanche) over a factory, killing 25 people.	Mud and rocks were swept 200 miles down the river.	1
oh i believe that uh mine would say the same uh but uh i seem too rely on them too much	Oh no way, I do not believe that and you can be sure mine would say the opposite. 	2
Tommy had a healthy and vigorous appetite.	Tommy wasn't hungry.	2
Smart men make good thieves, as long as they're desperate.	It is best for a thief to be dumb.	2
I am not.	No, I'm not.	0
I feel, though, that I should like to point out to you once more the risks you are running, especially if you pursue the course you indicate.	I want to join you on this course and forget about the risks.	2
Ca'daan felt his skin get hot and unable to come up with any suitable response, moved on.	Ca'daan felt the heat on his skin.	0
oh i believe that uh mine would say the same uh but uh i seem too rely on them too much	I believe you and my kids would say the same thing but I think I might rely too much on their loyalty. 	1
He argued that these governors shared the congressional Republican agenda enshrined in the 1994 Contract With America.	The speaker agrees with the governors	2
The sculpture on the dome (a personification of Commerce) and the river gods (including Anna Livia, set over the main door) are by Edward Smyth, who was also responsible for the statues on the GPO .	The dome has a big marble sculpture of a dragon.	1
It's mighty lucky you did say it.	It's pretty unlucky that you said it.	2
I see, said Tuppence thoughtfully.	"Tuppence, showing careful consideration, said ""I understand""."	0
Professor Rogers began her career by clerking for The Honorable Thomas D. Lambros of the United States District Court for the Northern District of Ohio.	Professor Rogers started her career as a clerk.	0
The Commission published a summary of its Final Regulatory Flexibility Analysis in the Federal Register on September 12, 1996 (61 Fed.	The Commission did not publish its Final Regulatory Flexibility Analysis in 1996.	2
Sue me, Royko wrote.	Royko was over their crap. 	1
6See also Internal Control Management and Evaluation Tool (GAO-01-1008G, August 2001).	The evaluation tool is used to work on research studies.	1
He touched it and felt his skin swelling and growing hot.	His skin was cold and clammy.	2
The contrast between the landscape of the central highlands and the south coast could not be more marked.	There was a beautiful artist who painted the landscape of the central highlands.	1
Today it is the effects of pollution that are taking their toll on Agra's monuments.	Agra's monuments are being damaged by pollution.	0
But, Slate protests, it was [Gates'] byline that appeared on the cover.	Slate said that it was definitely not Gates' byline on the cover.	2
But I guess I can take it we were wrong, pursued Julius.	Julius was right that we were incorrect.  	1
Not only must capital goods be replaced as they depreciate, but new generations of workers must be comparably	Capital goods depreciate at a higher rate than other goods.	1
The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).	The Tomb/Pillar of Absalom is the largest structure in the area.	1
